12cm単装砲,12cm Single Cannon
12.7cm連装砲,12.7cm Twin Cannon
10cm連装高角砲,10cm Twin High-Angle Cannon
14cm単装砲,14cm Single Cannon
15.5cm三連装砲,15.5cm Triple Cannon
20.3cm連装砲,20.3cm Twin Cannon
35.6cm連装砲,35.6cm Twin Cannon
41cm連装砲,41cm Twin Cannon
46cm三連装砲,46cm Triple Cannon
12.7cm連装高角砲,12.7cm Twin High-Angle Cannon
15.2cm単装砲,15.2cm Single Cannon
15.5cm三連装副砲,15.5cm Triple Cannon
61cm三連装魚雷,61cm Triple Torpedo
61cm四連装魚雷,61cm Quad Torpedo
61cm四連装(酸素)魚雷,61cm Quad (Oxygen) Torpedo
九七式艦攻,Type 97 Torpedo Bomber
天山,Tenzan
流星,Ryuusei
九六式艦戦,Type 96 Fighter
零式艦戦21型,Type 21 Zero Fighter
零式艦戦52型,Type 52 Zero Fighter
烈風,Reppu
九九式艦爆,Type 99 Bomber
彗星,Suisei
零式水上偵察機,Type 0 Recon Seaplane
瑞雲,Zuiun
13号対空電探,Type 13 Air RADAR
22号対水上電探,Type 22 Surface RADAR
33号対水上電探,Type 33 Surface RADAR
21号対空電探,Type 21 Air RADAR
32号対水上電探,Type 32 Surface RADAR
14号対空電探,Type 14 Air RADAR
改良型艦本式タービン,Improved Steam Turbine
強化型艦本式缶,Enhanced Steam Turbine
三式弾,Type 3 Shell
九一式徹甲弾,Type 91 AP Shell
7.7mm機銃,7.7mm Gun
12.7mm単装機銃,12.7mm Gun
25mm連装機銃,25mm Dual Gun
25mm三連装機銃,25mm Triple Gun
甲標的,Type A Ko-hyoteki
応急修理要員,Repair Team
応急修理女神,Repair Goddess
九四式爆雷投射機,Type 94 Depth Charge
三式爆雷投射機,Type 3 Depth Charge
九三式水中聴音機,Type 93 SONAR
三式水中探信儀,Type 3 SONAR
12.7cm単装高角砲,12.7 cm Single High-Angle Cannon
25mm単装機銃,25mm Single Gun
20.3cm(3号)連装砲,20.3cm(no.3) Dual Cannon
12cm30連装噴進砲,12cm 30-tube Rocket Launcher
流星改,Ryuusei Kai
烈風改,Reppu Kai
彩雲,Saiun
紫電改二,Shiden Kai 2
震電改,Shinden Kai
彗星一二型甲,Suisei Model 12A
61cm五連装(酸素)魚雷,61cm Quintuple (Oxygen) Torpedo
零式水上観測機,Zero Observation Seaplane
零式艦戦62型(爆戦),Type 62 Zero Fighter-Bomber
二式艦上偵察機,Type 2 Recon Plane
試製晴嵐,Prototype Seiran
12.7cm連装砲B型改二,12.7cm Twin Cannon Type B Kai2
Ju87C改,Ju 87C Kai
15.2cm連装砲,15.2cm Twin Cannon
8cm高角砲,8cm High-Angle Cannon
53cm艦首(酸素)魚雷,53cm Hull-mount (Oxygen) Torpedo
大発動艇,Daihatsu-Class Landing Craft
カ号観測機,Type Ka Liaison Aircraft
三式指揮連絡機(対潜),Type 3 Liaison Aircraft
10cm連装高角砲(砲架),Improved 10cm High-angle Cannon
増設バルジ（中型艦）,Anti-Torpedo Bulge (M)
増設バルジ（大型艦）,Anti-Torpedo Bulge (L)
